DS,rep,clf,optimal,biased,method,augmented_acc,added_points
Wholesale,1,DT,0.5113636363636364,0.36363636363636365,Imitate,0.4659090909090909,168
Wholesale,1,DT,0.5113636363636364,0.36363636363636365,Mimic (ours),0.5227272727272727,39
Wholesale,1,SVM,0.7045454545454546,0.7045454545454546,GMM,0.7045454545454546,0
Wholesale,1,SVM,0.7045454545454546,0.7045454545454546,Imitate,0.7045454545454546,168
Wholesale,1,SVM,0.7045454545454546,0.7045454545454546,Mimic (ours),0.7045454545454546,39
Wholesale,1,RF,0.7272727272727273,0.6022727272727273,GMM,0.5909090909090909,0
Wholesale,1,RF,0.7272727272727273,0.6022727272727273,Imitate,0.6818181818181818,168
Wholesale,1,RF,0.7272727272727273,0.6022727272727273,Mimic (ours),0.7045454545454546,39
Wholesale,2,DT,0.4659090909090909,0.375,GMM,0.38636363636363635,0
Wholesale,2,DT,0.4659090909090909,0.375,Imitate,0.4318181818181818,112
Wholesale,2,DT,0.4659090909090909,0.375,Mimic (ours),0.5,21
Wholesale,2,SVM,0.6818181818181818,0.6818181818181818,GMM,0.6818181818181818,0
Wholesale,2,SVM,0.6818181818181818,0.6818181818181818,Imitate,0.6818181818181818,112
Wholesale,2,SVM,0.6818181818181818,0.6818181818181818,Mimic (ours),0.6818181818181818,21
Wholesale,2,RF,0.6590909090909091,0.6477272727272727,GMM,0.6477272727272727,0
Wholesale,2,RF,0.6590909090909091,0.6477272727272727,Imitate,0.6704545454545454,112
Wholesale,2,RF,0.6590909090909091,0.6477272727272727,Mimic (ours),0.6818181818181818,21
Abalone,0,DT,0.4796650717703349,0.4796650717703349,GMM,0.48086124401913877,0
Abalone,0,DT,0.4796650717703349,0.4796650717703349,Imitate,0.48444976076555024,818
Abalone,0,DT,0.4796650717703349,0.4796650717703349,Mimic (ours),0.47129186602870815,199
Abalone,0,SVM,0.5215311004784688,0.3684210526315789,GMM,0.3684210526315789,0
Abalone,0,SVM,0.5215311004784688,0.3684210526315789,Imitate,0.3911483253588517,818
Abalone,0,SVM,0.5215311004784688,0.3684210526315789,Mimic (ours),0.4270334928229665,199
Abalone,0,RF,0.5550239234449761,0.5059808612440191,GMM,0.5023923444976076,0
Abalone,0,RF,0.5550239234449761,0.5059808612440191,Imitate,0.5023923444976076,818
Abalone,0,RF,0.5550239234449761,0.5059808612440191,Mimic (ours),0.5322966507177034,199
Abalone,1,DT,0.4796650717703349,0.4796650717703349,GMM,0.47607655502392343,0
Abalone,1,DT,0.4796650717703349,0.4796650717703349,Imitate,0.4868421052631579,861
Abalone,1,DT,0.4796650717703349,0.4796650717703349,Mimic (ours),0.4796650717703349,80
Abalone,1,SVM,0.5442583732057417,0.3708133971291866,GMM,0.3708133971291866,0
Abalone,1,SVM,0.5442583732057417,0.3708133971291866,Imitate,0.4222488038277512,861
Abalone,1,SVM,0.5442583732057417,0.3708133971291866,Mimic (ours),0.39354066985645936,80
Abalone,1,RF,0.5550239234449761,0.5179425837320574,GMM,0.5203349282296651,0
Abalone,1,RF,0.5550239234449761,0.5179425837320574,Imitate,0.5083732057416268,861
Abalone,1,RF,0.5550239234449761,0.5179425837320574,Mimic (ours),0.5322966507177034,80
Abalone,2,DT,0.507177033492823,0.5,GMM,0.4964114832535885,0
Abalone,2,DT,0.507177033492823,0.5,Imitate,0.5167464114832536,824
Abalone,2,DT,0.507177033492823,0.5,Mimic (ours),0.49401913875598086,260
Abalone,2,SVM,0.5502392344497608,0.40789473684210525,GMM,0.40789473684210525,0
Abalone,2,SVM,0.5502392344497608,0.40789473684210525,Imitate,0.46291866028708134,824
Abalone,2,SVM,0.5502392344497608,0.40789473684210525,Mimic (ours),0.41985645933014354,260
Abalone,2,RF,0.5681818181818182,0.5203349282296651,GMM,0.5167464114832536,0
Abalone,2,RF,0.5681818181818182,0.5203349282296651,Imitate,0.5502392344497608,824
Abalone,2,RF,0.5681818181818182,0.5203349282296651,Mimic (ours),0.5167464114832536,260
Abalone,3,DT,0.5035885167464115,0.4916267942583732,GMM,0.49760765550239233,0
Abalone,3,DT,0.5035885167464115,0.4916267942583732,Imitate,0.4748803827751196,861
Abalone,3,DT,0.5035885167464115,0.4916267942583732,Mimic (ours),0.46291866028708134,106
Abalone,3,SVM,0.5370813397129187,0.39832535885167464,GMM,0.39832535885167464,0
Abalone,3,SVM,0.5370813397129187,0.39832535885167464,Imitate,0.43899521531100477,861
Abalone,3,SVM,0.5370813397129187,0.39832535885167464,Mimic (ours),0.4138755980861244,106
Abalone,3,RF,0.5490430622009569,0.5179425837320574,GMM,0.5179425837320574,0
Abalone,3,RF,0.5490430622009569,0.5179425837320574,Imitate,0.5107655502392344,861
Abalone,3,RF,0.5490430622009569,0.5179425837320574,Mimic (ours),0.5047846889952153,106
Abalone,4,DT,0.49401913875598086,0.5119617224880383,GMM,0.4988038277511962,0
Abalone,4,DT,0.49401913875598086,0.5119617224880383,Imitate,0.40669856459330145,751
Abalone,4,DT,0.49401913875598086,0.5119617224880383,Mimic (ours),0.4665071770334928,181
Abalone,4,SVM,0.5454545454545454,0.3875598086124402,GMM,0.3875598086124402,0
Abalone,4,SVM,0.5454545454545454,0.3875598086124402,Imitate,0.34688995215311,751
Abalone,4,SVM,0.5454545454545454,0.3875598086124402,Mimic (ours),0.3803827751196172,181
Abalone,4,RF,0.5538277511961722,0.5059808612440191,GMM,0.5263157894736842,0
Abalone,4,RF,0.5538277511961722,0.5059808612440191,Imitate,0.4150717703349282,751
Abalone,4,RF,0.5538277511961722,0.5059808612440191,Mimic (ours),0.4880382775119617,181
Abalone,5,DT,0.4688995215311005,0.4665071770334928,GMM,0.48086124401913877,0
Abalone,5,DT,0.4688995215311005,0.4665071770334928,Imitate,0.4916267942583732,921
Abalone,5,DT,0.4688995215311005,0.4665071770334928,Mimic (ours),0.4988038277511962,293
Abalone,5,SVM,0.5526315789473685,0.3624401913875598,GMM,0.3624401913875598,0
Abalone,5,SVM,0.5526315789473685,0.3624401913875598,Imitate,0.38516746411483255,921
Abalone,5,SVM,0.5526315789473685,0.3624401913875598,Mimic (ours),0.36004784688995217,293
Abalone,5,RF,0.5454545454545454,0.4904306220095694,GMM,0.49282296650717705,0
Abalone,5,RF,0.5454545454545454,0.4904306220095694,Imitate,0.5227272727272727,921
Abalone,5,RF,0.5454545454545454,0.4904306220095694,Mimic (ours),0.4569377990430622,293
Abalone,6,DT,0.5191387559808612,0.5023923444976076,GMM,0.5023923444976076,0
Abalone,6,DT,0.5191387559808612,0.5023923444976076,Imitate,0.5143540669856459,972
Abalone,6,DT,0.5191387559808612,0.5023923444976076,Mimic (ours),0.4868421052631579,433
Abalone,6,SVM,0.5299043062200957,0.4055023923444976,GMM,0.4055023923444976,0
Abalone,6,SVM,0.5299043062200957,0.4055023923444976,Imitate,0.48564593301435405,972
Abalone,6,SVM,0.5299043062200957,0.4055023923444976,Mimic (ours),0.39593301435406697,433
Abalone,6,RF,0.5418660287081339,0.5203349282296651,GMM,0.5215311004784688,0
Abalone,6,RF,0.5418660287081339,0.5203349282296651,Imitate,0.534688995215311,972
Abalone,6,RF,0.5418660287081339,0.5203349282296651,Mimic (ours),0.5394736842105263,433
Abalone,7,DT,0.4964114832535885,0.4102870813397129,GMM,0.4138755980861244,0
Abalone,7,DT,0.4964114832535885,0.4102870813397129,Imitate,0.49760765550239233,1022
Abalone,7,DT,0.4964114832535885,0.4102870813397129,Mimic (ours),0.49521531100478466,238
