seed,num_clusters,num_dims,spread,clf,optimal,biased,method,augmented_acc,added_points
8184,1,2,100,SVM,0.9386666666666666,0.76,GMM,0.8173333333333334,320
8184,1,2,100,SVM,0.9386666666666666,0.76,Imitate,0.9253333333333333,742
8184,1,2,100,SVM,0.9386666666666666,0.76,Mimic (ours),0.7686666666666667,282
8184,1,2,100,RF,0.9626666666666667,0.6966666666666667,GMM,0.778,320
8184,1,2,100,RF,0.9626666666666667,0.6966666666666667,Imitate,0.9626666666666667,742
8184,1,2,100,RF,0.9626666666666667,0.6966666666666667,Mimic (ours),0.7073333333333334,282
6745,1,2,100,DT,0.8393333333333334,0.726,GMM,0.7446666666666667,104
6745,1,2,100,DT,0.8393333333333334,0.726,Imitate,0.7606666666666667,307
6745,1,2,100,DT,0.8393333333333334,0.726,Mimic (ours),0.732,188
6745,1,2,100,SVM,0.864,0.748,GMM,0.754,104
6745,1,2,100,SVM,0.864,0.748,Imitate,0.756,307
6745,1,2,100,SVM,0.864,0.748,Mimic (ours),0.7493333333333333,188
6745,1,2,100,RF,0.864,0.728,GMM,0.748,104
6745,1,2,100,RF,0.864,0.728,Imitate,0.754,307
6745,1,2,100,RF,0.864,0.728,Mimic (ours),0.7373333333333333,188
2242,1,2,100,DT,0.7966666666666666,0.5326666666666666,GMM,0.5593333333333333,405
2242,1,2,100,DT,0.7966666666666666,0.5326666666666666,Imitate,0.7406666666666667,871
2242,1,2,100,DT,0.7966666666666666,0.5326666666666666,Mimic (ours),0.584,177
2242,1,2,100,SVM,0.8246666666666667,0.5266666666666666,GMM,0.544,405
2242,1,2,100,SVM,0.8246666666666667,0.5266666666666666,Imitate,0.756,871
2242,1,2,100,SVM,0.8246666666666667,0.5266666666666666,Mimic (ours),0.5453333333333333,177
2242,1,2,100,RF,0.8566666666666667,0.5493333333333333,GMM,0.572,405
2242,1,2,100,RF,0.8566666666666667,0.5493333333333333,Imitate,0.776,871
2242,1,2,100,RF,0.8566666666666667,0.5493333333333333,Mimic (ours),0.5633333333333334,177
9377,1,2,100,DT,0.9926666666666667,0.992,GMM,0.9933333333333333,179
9377,1,2,100,DT,0.9926666666666667,0.992,Imitate,0.994,750
9377,1,2,100,DT,0.9926666666666667,0.992,Mimic (ours),0.994,280
9377,1,2,100,SVM,0.9873333333333333,0.808,GMM,0.8153333333333334,179
9377,1,2,100,SVM,0.9873333333333333,0.808,Imitate,0.988,750
9377,1,2,100,SVM,0.9873333333333333,0.808,Mimic (ours),0.8073333333333333,280
9377,1,2,100,RF,0.9933333333333333,0.9933333333333333,GMM,0.9946666666666667,179
9377,1,2,100,RF,0.9933333333333333,0.9933333333333333,Imitate,0.9946666666666667,750
9377,1,2,100,RF,0.9933333333333333,0.9933333333333333,Mimic (ours),0.9933333333333333,280
2314,1,2,100,DT,0.924,0.8526666666666667,GMM,0.868,122
2314,1,2,100,DT,0.924,0.8526666666666667,Imitate,0.8973333333333333,311
2314,1,2,100,DT,0.924,0.8526666666666667,Mimic (ours),0.8486666666666667,417
2314,1,2,100,SVM,0.9466666666666667,0.8253333333333334,GMM,0.8253333333333334,122
2314,1,2,100,SVM,0.9466666666666667,0.8253333333333334,Imitate,0.8893333333333333,311
2314,1,2,100,SVM,0.9466666666666667,0.8253333333333334,Mimic (ours),0.8566666666666667,417
2314,1,2,100,RF,0.9393333333333334,0.8553333333333333,GMM,0.848,122
2314,1,2,100,RF,0.9393333333333334,0.8553333333333333,Imitate,0.9006666666666666,311
2314,1,2,100,RF,0.9393333333333334,0.8553333333333333,Mimic (ours),0.862,417
9244,1,2,100,DT,0.996,0.8046666666666666,GMM,0.8353333333333334,352
9244,1,2,100,DT,0.996,0.8046666666666666,Imitate,0.9726666666666667,607
9244,1,2,100,DT,0.996,0.8046666666666666,Mimic (ours),0.8126666666666666,254
9244,1,2,100,SVM,0.9953333333333333,0.8333333333333334,GMM,0.86,352
9244,1,2,100,SVM,0.9953333333333333,0.8333333333333334,Imitate,0.9913333333333333,607
9244,1,2,100,SVM,0.9953333333333333,0.8333333333333334,Mimic (ours),0.838,254
